cycle, observation, reward, action, explored, explore_rate, total reward, average reward
2899, 2, 3, 0, 0, 0.00748402, 5336, 1.84063
2900, 2, 3, 0, 0, 0.00748328, 5339, 1.84103
2901, 2, 1, 0, 0, 0.00748253, 5340, 1.84074
2902, 3, 3, 0, 0, 0.00748178, 5343, 1.84114
2903, 2, 1, 0, 0, 0.00748103, 5344, 1.84085
2904, 4, 3, 0, 0, 0.00748028, 5347, 1.84125
2905, 2, 3, 0, 0, 0.00747953, 5350, 1.84165
2906, 3, 1, 0, 0, 0.00747879, 5351, 1.84136
2907, 4, 1, 0, 0, 0.00747804, 5352, 1.84107
2908, 0, 3, 1, 0, 0.00747729, 5355, 1.84147
2909, 3, 3, 0, 0, 0.00747654, 5358, 1.84187
2910, 2, 1, 0, 0, 0.0074758, 5359, 1.84158
2911, 0, 3, 1, 0, 0.00747505, 5362, 1.84198
2912, 2, 3, 0, 0, 0.0074743, 5365, 1.84238
2913, 2, 1, 0, 0, 0.00747355, 5366, 1.84209
2914, 0, 3, 1, 0, 0.00747281, 5369, 1.84248
2915, 4, 0, 0, 0, 0.00747206, 5369, 1.84185
2916, 1, 3, 0, 0, 0.00747131, 5372, 1.84225
2917, 2, 1, 0, 0, 0.00747056, 5373, 1.84196
2918, 2, 1, 0, 0, 0.00746982, 5374, 1.84167
2919, 2, 3, 0, 0, 0.00746907, 5377, 1.84207
2920, 4, 3, 0, 0, 0.00746832, 5380, 1.84247
2921, 0, 3, 0, 0, 0.00746758, 5383, 1.84286
2922, 4, 1, 0, 0, 0.00746683, 5384, 1.84257
2923, 0, 3, 1, 0, 0.00746608, 5387, 1.84297
2924, 4, 0, 0, 0, 0.00746534, 5387, 1.84234
2925, 0, 3, 0, 0, 0.00746459, 5390, 1.84274
2926, 4, 1, 0, 0, 0.00746384, 5391, 1.84245
2927, 0, 3, 1, 0, 0.0074631, 5394, 1.84284
2928, 1, 0, 0, 0, 0.00746235, 5394, 1.84221
2929, 4, 1, 0, 0, 0.0074616, 5395, 1.84193
2930, 3, 3, 0, 0, 0.00746086, 5398, 1.84232
2931, 4, 1, 0, 0, 0.00746011, 5399, 1.84203
2932, 2, 3, 0, 0, 0.00745937, 5402, 1.84243
2933, 0, 1, 0, 0, 0.00745862, 5403, 1.84214
2934, 3, 1, 0, 0, 0.00745787, 5404, 1.84185
2935, 4, 1, 0, 0, 0.00745713, 5405, 1.84157
2936, 1, 3, 0, 0, 0.00745638, 5408, 1.84196
2937, 4, 1, 0, 0, 0.00745564, 5409, 1.84168
2938, 1, 3, 1, 0, 0.00745489, 5412, 1.84207
2939, 4, 0, 0, 0, 0.00745415, 5412, 1.84144
2940, 5, 3, 1, 0, 0.0074534, 5415, 1.84184
2941, 2, 4, 0, 0, 0.00745266, 5419, 1.84257
2942, 0, 1, 0, 0, 0.00745191, 5420, 1.84228
2943, 0, 1, 0, 0, 0.00745116, 5421, 1.842
2944, 4, 1, 0, 0, 0.00745042, 5422, 1.84171
2945, 2, 3, 0, 0, 0.00744967, 5425, 1.84211
2946, 3, 1, 0, 0, 0.00744893, 5426, 1.84182
2947, 4, 1, 0, 0, 0.00744818, 5427, 1.84153
2948, 0, 3, 0, 0, 0.00744744, 5430, 1.84193
2949, 0, 1, 1, 0, 0.0074467, 5431, 1.84164
2950, 0, 3, 1, 0, 0.00744595, 5434, 1.84203
2951, 3, 0, 0, 0, 0.00744521, 5434, 1.84141
2952, 1, 1, 0, 0, 0.00744446, 5435, 1.84112
2953, 0, 1, 0, 0, 0.00744372, 5436, 1.84084
2954, 4, 1, 0, 0, 0.00744297, 5437, 1.84056
2955, 0, 3, 1, 0, 0.00744223, 5440, 1.84095
2956, 4, 0, 0, 0, 0.00744148, 5440, 1.84032
2957, 2, 3, 0, 0, 0.00744074, 5443, 1.84072
2958, 2, 3, 0, 0, 0.00744, 5446, 1.84111
2959, 0, 3, 0, 0, 0.00743925, 5449, 1.8415
2960, 2, 1, 0, 0, 0.00743851, 5450, 1.84122
2961, 0, 1, 0, 0, 0.00743776, 5451, 1.84093
2962, 4, 1, 0, 0, 0.00743702, 5452, 1.84065
2963, 3, 3, 0, 0, 0.00743628, 5455, 1.84104
2964, 2, 1, 0, 0, 0.00743553, 5456, 1.84076
2965, 4, 1, 0, 0, 0.00743479, 5457, 1.84047
2966, 4, 3, 0, 0, 0.00743405, 5460, 1.84086
2967, 0, 3, 1, 0, 0.0074333, 5463, 1.84125
2968, 2, 0, 0, 0, 0.00743256, 5463, 1.84063
2969, 0, 3, 1, 0, 0.00743182, 5466, 1.84102
2970, 4, 0, 0, 0, 0.00743107, 5466, 1.8404
2971, 1, 3, 1, 0, 0.00743033, 5469, 1.84079
2972, 4, 0, 0, 0, 0.00742959, 5469, 1.84017
2973, 2, 3, 0, 0, 0.00742884, 5472, 1.84057
2974, 0, 3, 1, 0, 0.0074281, 5475, 1.84095
2975, 2, 0, 0, 0, 0.00742736, 5475, 1.84034
2976, 2, 1, 0, 0, 0.00742662, 5476, 1.84005
2977, 4, 3, 0, 0, 0.00742587, 5479, 1.84044
2978, 3, 3, 0, 0, 0.00742513, 5482, 1.84083
2979, 0, 1, 0, 0, 0.00742439, 5483, 1.84055
2980, 0, 1, 0, 0, 0.00742365, 5484, 1.84027
2981, 3, 1, 0, 0, 0.0074229, 5485, 1.83999
2982, 0, 1, 0, 0, 0.00742216, 5486, 1.8397
2983, 4, 1, 0, 0, 0.00742142, 5487, 1.83942
2984, 4, 3, 0, 0, 0.00742068, 5490, 1.83981
2985, 4, 3, 0, 0, 0.00741993, 5493, 1.8402
2986, 2, 3, 0, 0, 0.00741919, 5496, 1.84059
2987, 0, 3, 0, 0, 0.00741845, 5499, 1.84098
2988, 3, 1, 0, 0, 0.00741771, 5500, 1.8407
2989, 2, 1, 0, 0, 0.00741697, 5501, 1.84041
2990, 0, 3, 0, 0, 0.00741622, 5504, 1.8408
2991, 1, 1, 0, 0, 0.00741548, 5505, 1.84052
2992, 2, 1, 0, 0, 0.00741474, 5506, 1.84024
2993, 0, 3, 0, 0, 0.007414, 5509, 1.84063
2994, 4, 1, 0, 0, 0.00741326, 5510, 1.84035
2995, 4, 3, 0, 0, 0.00741252, 5513, 1.84073
2996, 1, 3, 0, 0, 0.00741178, 5516, 1.84112
2997, 4, 1, 0, 0, 0.00741104, 5517, 1.84084
2998, 3, 3, 0, 0, 0.00741029, 5520, 1.84123
2999, 2, 1, 0, 0, 0.00740955, 5521, 1.84095
3000, 2, 1, 0, 0, 0.00740881, 5522, 1.84067
3001, 2, 1, 0, 0, 0.00740807, 5523, 1.84039
3002, 4, 3, 0, 0, 0.00740733, 5526, 1.84077
3003, 1, 3, 0, 0, 0.00740659, 5529, 1.84116
3004, 2, 1, 0, 0, 0.00740585, 5530, 1.84088
3005, 3, 3, 1, 0, 0.00740511, 5533, 1.84126
3006, 4, 4, 0, 0, 0.00740437, 5537, 1.84198
3007, 5, 3, 0, 0, 0.00740363, 5540, 1.84237
